Unnamed: 0,reactant_type,reactant_subtype,reactant_smiles,shadow_smiles
32,carbonyl,ald,CC(C)(C)OC(=O)N[C@@H](C=O)C(c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)N[C@@H](C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)C(c1ccccc1)c1ccccc1
33,carbonyl,keto,CC(C)(C)[Si](C)(C)OC1C=C2CCC(=O)[C@@]2(C)CC1O[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OC1C=C2CCC(=O)[C@@]2(C)CC1O[Si](C)(C)C(C)(C)C
34,carbonyl,ald,CCCCC[C@H]1CC[C@H](CCc2ccc(-c3ccc(CCCC=O)cc3)c(F)c2F)CC1,CCCCC[C@H]1CC[C@H](CCc2ccc(-c3ccc(CCCC=P(c4ccccc4)(c4ccccc4)[Yb]4CCCCC4)cc3)c(F)c2F)CC1
35,carbonyl,ald,Cn1c(COc2ccc(C=O)cc2)nc2ccccc21,Cn1c(COc2ccc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)cc2)nc2ccccc21
36,carbonyl,ald,O=Cc1cccs1,C(c1cccs1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
37,carbonyl,ald,C=CCN(c1ccccc1)c1oc2ccccc2c(=O)c1C=O,C=CCN(c1ccccc1)c1oc2ccccc2c(=O)c1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
38,alkyl,alkyl,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)CCl,O=C(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)CCl
39,carbonyl,ald,C=C[C@@H]1[C@H](CC)[C@H]2OC[C@@H](c3ccccc3)N2C(=O)[C@]1(Cc1c(C=O)n(S(=O)(=O)c2ccccc2)c2ccccc12)C(=O)OCc1ccccc1,C=C[C@@H]1[C@H](CC)[C@H]2OC[C@@H](c3ccccc3)N2C(=O)[C@]1(Cc1c(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)n(S(=O)(=O)c2ccccc2)c2ccccc12)C(=O)OCc1ccccc1
40,carbonyl,ald,COc1ccc(-c2nn(-c3ccc(OC)cc3)cc2C=O)cc1,COc1ccc(-c2nn(-c3ccc(OC)cc3)cc2C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1
41,carbonyl,ald,COc1ccc2ccc(Br)c(C=O)c2c1,COc1ccc2ccc(Br)c(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)c2c1
42,carbonyl,keto,C=CCCN(CC(=O)C1CC1)S(=O)(=O)c1ccc(C)cc1,C=CCCN(CC(=O)C1CC1)S(=O)(=O)c1ccc(C)cc1
43,carbonyl,ald,COc1c(I)cc(C=O)cc1I,COc1c(I)cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1I
44,carbonyl,ald,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1C[C@@H](CCC=O)[C@@H]2OCc1ccccc1,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1C[C@@H](CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)[C@@H]2OCc1ccccc1
45,carbonyl,ald,CCCCCCCCc1ccc2cc(-c3c(C=O)oc4ccccc34)ccc2c1,CCCCCCCCc1ccc2cc(-c3c(C=P(c4ccccc4)(c4ccccc4)[Yb]4CCCCC4)oc4ccccc34)ccc2c1
46,carbonyl,ald,Cc1ccc(S(=O)(=O)N2[C@H](c3ccccc3C)[C@H](C=O)[C@H]3CC(=O)C=C[C@]32C)cc1,Cc1ccc(S(=O)(=O)N2[C@H](c3ccccc3C)[C@H](C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)[C@H]3CC(=O)C=C[C@]32C)cc1
47,carbonyl,keto,CCOC(=O)/C=C/c1ccccc1C(=O)c1ccc(OC)cc1,CCOC(=O)/C=C/c1ccccc1C(=O)c1ccc(OC)cc1
48,alkyl,alkyl,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)N1CCOCC1,O=C(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)N1CCOCC1
49,carbonyl,keto,C/C(C)=C\CCC(=O)CCc1ccccc1,C/C(C)=C\CCC(=O)CCc1ccccc1
50,carbonyl,ald,CC(O)c1oc(=O)c2ccccc2c1-c1cccc(C=O)c1,CC(O)c1oc(=O)c2ccccc2c1-c1cccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1
51,carbonyl,ald,O=CCCCCc1cccc2ncccc12,C(CCCCc1cccc2ncccc12)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
52,carbonyl,ald,O=Cc1cc(Br)c2c(c1)CCN2CCCOCc1ccccc1,Brc1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc2c1N(CCCOCc1ccccc1)CC2
53,carbonyl,ald,O=C[C@@H]1CC[C@@H](c2ccc(OC3CCCCO3)cc2)CC1,c1ccc(P(=C[C@H]2CC[C@H](c3ccc(OC4CCCCO4)cc3)CC2)(c2ccccc2)[Yb]2CCCCC2)cc1
54,carbonyl,ald,CCOC(=O)CCCCC=O,CCOC(=O)CCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
55,carbonyl,ald,O=Cc1ccc(C(=O)OCc2ccccc2)cc1,O=C(OCc1ccccc1)c1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)cc1
56,carbonyl,ald,COc1ccc(C=O)c2c1CCCC2,COc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c2c1CCCC2
57,carbonyl,ald,C=CC[C@@H](CC[C@H](C)C=O)O[Si](C)(C)C(C)(C)C,C=CC[C@@H](CC[C@H](C)C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)O[SiH3]
58,phosphine,phosphine,CN(C)P(N(C)C)N(C)C,CN(C)P(N(C)C)N(C)C
59,alkyl,alkyl,FC(F)(F)C(F)(F)CCCC=P(c1ccccc1)(c1ccccc1)c1ccccc1,FC(F)(F)C(F)(F)CCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
60,carbonyl,ald,O=Cc1ccc(Cl)c(F)c1,Fc1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)ccc1Cl
61,carbonyl,ald,COc1ccccc1C(C=O)c1ccccc1,COc1ccccc1C(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)c1ccccc1
62,alkyl,alkyl,CS(=O)(=O)c1ccc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c(C2CC2)c1,CS(=O)(=O)c1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c(C2CC2)c1
63,carbonyl,ald,COC(=O)c1ccc(F)c(-c2c(F)ccc(C=O)c2F)n1,COC(=O)c1ccc(F)c(-c2c(F)ccc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)c2F)n1
64,carbonyl,ald,CCCCCCCCCOCC(COCCCCCCCCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,CCCCCCCCCOCC(COCCCCCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
65,carbonyl,ald,CC(C=O)c1cc(-c2ccc(OCc3ccccc3)c(C(C)C=O)c2)ccc1OCc1ccccc1,CC(C=O)c1cc(-c2ccc(OCc3ccccc3)c(C(C)C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)c2)ccc1OCc1ccccc1
66,carbonyl,keto,O=C(c1ccc(Cl)cc1)C(F)F,O=C(c1ccc(Cl)cc1)C(F)F
67,alkyl,alkyl,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1nccn1-c1ccccc1,O=C(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)c1nccn1-c1ccccc1
68,carbonyl,ald,O=C[C@H](Cc1ccccc1)N1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1[C@H](C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)Cc1ccccc1
69,carbonyl,ald,CO[C@@](C)(C=O)CC[C@H]1OC1(C)C,CO[C@@](C)(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)CC[C@H]1OC1(C)C
70,carbonyl,ald,COc1ccc2c(c1)CCC(Br)=C2C=O,COc1ccc2c(c1)CCC(Br)=C2C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
71,carbonyl,keto,COc1ccc(CO[C@@H]([C@@H](C)[C@@H](OCOCC[Si](C)(C)C)C(C)=O)[C@H](C)C(=O)N(C)OC)cc1,COc1ccc(CO[C@@H]([C@@H](C)[C@@H](OCOCC[Si](C)(C)C)C(C)=O)[C@H](C)C(=O)N(C)OC)cc1
72,carbonyl,keto,O=C1CC(CCc2ccccc2)c2ccccc21,O=C1CC(CCc2ccccc2)c2ccccc21
73,carbonyl,ald,CCN1CCN(c2cccc3c2CN([C@H](CCC=O)c2ccc(OC)c(OC)c2)C3=O)CC1,CCN1CCN(c2cccc3c2CN([C@H](CCC=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c2ccc(OC)c(OC)c2)C3=O)CC1
74,carbonyl,ald,Cc1noc(-n2cccc2C=O)c1C,Cc1noc(-n2cccc2C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1C
75,carbonyl,keto,Cc1cccc(C(=O)c2cnc[nH]2)c1C,Cc1cccc(C(=O)c2cnc[nH]2)c1C
76,carbonyl,ald,O=Cc1ccc(Sc2ccccc2)cc1,C(c1ccc(Sc2ccccc2)cc1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
77,alkyl,alkyl,CCCCCCOc1csc(C=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1OCCCCCC,CCCCCCOc1csc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1OCCCCCC
78,carbonyl,keto,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O
79,carbonyl,ald,CC(C)[C@@H](C=O)N(C)C(=O)OC(C)(C)C,CC(C)[C@@H](C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)N(C)C(=O)OC(C)(C)C
80,carbonyl,keto,C#CCNC(=O)CO[C@H]1O[C@H](COC(C)=O)C=C(OC(C)=O)C1=O,C#CCNC(=O)CO[C@H]1O[C@H](COC(C)=O)C=C(OC(C)=O)C1=O
81,carbonyl,keto,CO[C@@H]1C(=O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1C/C=C1\CCCC1,CO[C@@H]1C(=O)CC[C@]2(CO2)[C@H]1[C@@]1(C)O[C@@H]1C/C=C1\CCCC1
82,carbonyl,ald,O=Cc1ccc(Oc2cnc(C(F)(F)F)nc2)cc1,FC(F)(F)c1ncc(Oc2ccc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)cc2)cn1
83,carbonyl,ald,O=Cc1c[nH]c2ncc(Br)cc12,Brc1cnc2[nH]cc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)c2c1
84,carbonyl,ald,COc1cc(C)cc(OC)c1C=O,COc1cc(C)cc(OC)c1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
85,alkyl,alkyl,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)Nc1ccccc1C(=O)O,O=C(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)Nc1ccccc1C(=O)O
86,carbonyl,ald,[N-]=[N+]=Nc1ccccc1C(=O)N1CCC[C@H]1C=O,[N-]=[N+]=Nc1ccccc1C(=O)N1CCC[C@H]1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
87,carbonyl,ald,CCOC(=O)/C=C(C)/C=C/C=O,CCOC(=O)/C=C(C)/C=C/C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
88,carbonyl,ald,O=Cc1cc2c(o1)CC1CC2c2ccccc21,C(c1cc2c(o1)CC1CC2c2ccccc21)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
89,alkyl,alkyl,CCOC(=O)C1=C(NC(=O)C=P(c2ccccc2)(c2ccccc2)c2ccccc2)CCCC1,CCOC(=O)C1=C(NC(=O)C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)CCCC1
90,carbonyl,keto,C/C=C(\C)C(OCCC(C)=O)/C(C)=C/C,C/C=C(\C)C(OCCC(C)=O)/C(C)=C/C
91,alkyl,alkyl,CCOC(=O)c1cc2c(ccc3nc(SC)c(C=P(c4ccccc4)(c4ccccc4)c4ccccc4)cc32)s1,CCOC(=O)c1cc2c(ccc3nc(SC)c(C=P(c4ccccc4)(c4ccccc4)[Yb]4CCCCC4)cc32)s1
92,carbonyl,keto,Cn1ncc([N+](=O)[O-])c1N1CCC(=O)[C@H](NC(=O)C(F)(F)F)CC1,Cn1ncc([N+](=O)[O-])c1N1CCC(=O)[C@H](NC(=O)C(F)(F)F)CC1
93,carbonyl,ald,CCCCCCC=C[C@H](CCC=O)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,CCCCCCC=C[C@H](CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
94,carbonyl,keto,CC(=O)C1CC=CCC1,CC(=O)C1CC=CCC1
95,carbonyl,ald,C[C@]1(C[C@@H]2O[C@H]2C=O)CO1,C[C@]1(C[C@@H]2O[C@H]2C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)CO1
96,carbonyl,keto,CCOC(=O)[C@]12CCCC1=CCCC2=O,CCOC(=O)[C@]12CCCC1=CCCC2=O
97,carbonyl,ald,O=Cc1c(Br)ccc2ccccc12,Brc1ccc2ccccc2c1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
98,alkyl,alkyl,COC(=O)C(OC)=P(c1ccccc1)(c1ccccc1)c1ccccc1,COC(=O)C(OC)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
99,alkyl,alkyl,C=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)CCCC,C=C(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)CCCC
100,carbonyl,ald,O=Cc1ccc2nccnc2c1,C(c1ccc2nccnc2c1)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
101,carbonyl,ald,O=Cc1ccc(Cl)cc1N1CCc2ccccc2C1,Clc1ccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c(N2CCc3ccccc3C2)c1
102,carbonyl,ald,O=Cc1cc(-c2ccc(F)cc2)cc(-c2ccc(F)cc2)c1,Fc1ccc(-c2cc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)cc(-c3ccc(F)cc3)c2)cc1
103,alkyl,alkyl,C=CCCCCCCCCC(C(=O)OC)=P(c1ccccc1)(c1ccccc1)c1ccccc1,C=CCCCCCCCCC(C(=O)OC)=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
104,carbonyl,ald,CC(=O)O[C@@H](CC/C=C/C=O)C1=C[C@H]2OC(C)(C)O[C@H]2O1,CC(=O)O[C@@H](CC/C=C/C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)C1=C[C@H]2OC(C)(C)O[C@H]2O1
105,carbonyl,ald,COc1ccc2cc(C=O)c(=O)[nH]c2c1,COc1ccc2cc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)c(=O)[nH]c2c1
106,carbonyl,ald,COCO[C@H](C)C[C@@H](CCC=O)OCc1ccccc1,COCO[C@H](C)C[C@@H](CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)OCc1ccccc1
107,carbonyl,keto,O=C1c2cc(-c3cccc4ccccc34)ccc2-c2ccc(-c3cccc4ccccc34)cc21,O=C1c2cc(-c3cccc4ccccc34)ccc2-c2ccc(-c3cccc4ccccc34)cc21
108,carbonyl,ald,CC(NC(=O)C[C@H]1C[C@@H](C=O)OC(C)(C)O1)c1ccccc1,CC(NC(=O)C[C@H]1C[C@@H](C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)OC(C)(C)O1)c1ccccc1
109,carbonyl,ald,COc1cccc(C=O)c1-c1c(COC2CCCCO2)cccc1OC,COc1cccc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c1-c1c(COC2CCCCO2)cccc1OC
110,carbonyl,keto,COc1cccc(CC(CCCO[Si](C)(C)C(C)(C)C)C(=O)c2ccccc2)c1,COc1cccc(CC(CCCO[Si](C)(C)C(C)(C)C)C(=O)c2ccccc2)c1
111,carbonyl,keto,CCC(=O)Nc1ccccc1C(=O)C(F)F,CCC(=O)Nc1ccccc1C(=O)C(F)F
112,carbonyl,ald,COc1cc(C=O)c(Br)cc1C(C)(C)C,COc1cc(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)c(Br)cc1C(C)(C)C
113,carbonyl,ald,CC(C)Oc1cc2ccccc2c(OC(C)C)c1C=O,CC(C)Oc1cc2ccccc2c(OC(C)C)c1C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
114,carbonyl,ald,C=C[C@H](Oc1ccc(OC)cc1)[C@@]1(C=O)CO[C@H](C(C)(C)C)N1C(=O)OC(C)(C)C,C=C[C@H](Oc1ccc(OC)cc1)[C@@]1(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)CO[C@H](C(C)(C)C)N1C(=O)OC(C)(C)C
115,carbonyl,ald,CC(C)(C)[Si](C)(C)O[C@H](C/C=C\CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CCC=O,CC(C)(C)[Si](OC/C=C\C[C@H](CCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)O[SiH3])(c1ccccc1)c1ccccc1
116,carbonyl,ald,O=CCCCc1cc2c(cc1O)OCO2,Oc1cc2c(cc1CCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)OCO2
117,carbonyl,keto,Cc1cn([C@H]2OC[C@H]3OC(C)(C)O[C@H]3C2=O)c(=O)[nH]c1=O,Cc1cn([C@H]2OC[C@H]3OC(C)(C)O[C@H]3C2=O)c(=O)[nH]c1=O
118,carbonyl,ald,CC(C)(C)[Si](C)(C)OCCC[C@@H]1O[C@@]1(C)C=O,C[C@@]1(C=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)O[C@H]1CCCO[SiH3]
119,carbonyl,ald,CC1(C)OC[C@H]([C@H]2[C@@H](C=O)N2Cc2ccccc2)O1,CC1(C)OC[C@H]([C@H]2[C@@H](C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)N2Cc2ccccc2)O1
120,carbonyl,keto,COc1ccc(C(=O)CC/C=C(\C)C)cc1OC,COc1ccc(C(=O)CC/C=C(\C)C)cc1OC
121,carbonyl,ald,CCCCN(CCCC)c1ccc(N(c2ccc(C=O)cc2)c2ccc(N(CCCC)CCCC)cc2)cc1,CCCCN(CCCC)c1ccc(N(c2ccc(C=P(c3ccccc3)(c3ccccc3)[Yb]3CCCCC3)cc2)c2ccc(N(CCCC)CCCC)cc2)cc1
122,carbonyl,keto,COc1cccc(C(=O)[C@@H](C)CN(C)C)c1,COc1cccc(C(=O)[C@@H](C)CN(C)C)c1
123,carbonyl,ald,C/C(C=O)=C\C[C@@H]1O[C@H](C)[C@H](NC(=O)/C=C\[C@H](C)OC(=O)N2CCOCC2)C[C@@H]1C,C/C(C=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)=C\C[C@@H]1O[C@H](C)[C@H](NC(=O)/C=C\[C@H](C)OC(=O)N2CCOCC2)C[C@@H]1C
124,carbonyl,ald,CC(C)(C)[Si](C)(C)O[C@H]1C=C[C@H](CC=O)C1,[SiH3]O[C@H]1C=C[C@H](CC=P(c2ccccc2)(c2ccccc2)[Yb]2CCCCC2)C1
125,carbonyl,ald,O=CCNC(=O)OCc1ccccc1,O=C(NCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1)OCc1ccccc1
126,carbonyl,ald,CCOC(=O)CCCCCCCCCCCCC=O,CCOC(=O)CCCCCCCCCCCCC=P(c1ccccc1)(c1ccccc1)[Yb]1CCCCC1
127,carbonyl,ester,O=C1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,O=C1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1
128,carbonyl,keto,CC(=O)CC[C@H]1C(C)(C)[C@H]2CC[C@]1(CO)O2,CC(=O)CC[C@H]1C(C)(C)[C@H]2CC[C@]1(CO)O2
